lambda,dlambda,enthalpy
9.983760e-01,-1.329006e-05,-3.189439e+01
9.983627e-01,-1.328971e-05,-3.189440e+01
9.983494e-01,-1.328935e-05,-3.189441e+01
9.983361e-01,-1.328900e-05,-3.189442e+01
9.983228e-01,-1.328865e-05,-3.189443e+01
9.983095e-01,-1.328829e-05,-3.189444e+01
9.982962e-01,-1.328794e-05,-3.189445e+01
9.982829e-01,-1.328758e-05,-3.189447e+01
9.982696e-01,-1.328723e-05,-3.189448e+01
9.982564e-01,-1.328688e-05,-3.189450e+01
9.982431e-01,-1.328652e-05,-3.189451e+01
9.982298e-01,-1.328617e-05,-3.189452e+01
9.982165e-01,-1.328582e-05,-3.189454e+01
9.982032e-01,-1.328546e-05,-3.189455e+01
9.981899e-01,-1.328511e-05,-3.189457e+01
9.981766e-01,-1.328475e-05,-3.189459e+01
9.981634e-01,-1.328440e-05,-3.189460e+01
9.981501e-01,-1.328405e-05,-3.189461e+01
9.981368e-01,-1.328369e-05,-3.189463e+01
9.981235e-01,-1.328334e-05,-3.189464e+01
9.981102e-01,-1.328299e-05,-3.189466e+01
9.980969e-01,-1.328263e-05,-3.189467e+01
9.980837e-01,-1.328228e-05,-3.189468e+01
9.980704e-01,-1.328193e-05,-3.189469e+01
9.980571e-01,-1.328157e-05,-3.189470e+01
9.980438e-01,-1.328122e-05,-3.189471e+01
9.980305e-01,-1.328087e-05,-3.189472e+01
9.980173e-01,-1.328051e-05,-3.189473e+01
9.980040e-01,-1.328016e-05,-3.189473e+01
9.979907e-01,-1.327981e-05,-3.189474e+01
9.979774e-01,-1.327945e-05,-3.189474e+01
9.979641e-01,-1.327910e-05,-3.189475e+01
9.979509e-01,-1.327875e-05,-3.189475e+01
9.979376e-01,-1.327839e-05,-3.189475e+01
9.979243e-01,-1.327804e-05,-3.189475e+01
9.979110e-01,-1.327769e-05,-3.189475e+01
9.978977e-01,-1.327733e-05,-3.189474e+01
9.978845e-01,-1.327698e-05,-3.189474e+01
9.978712e-01,-1.327663e-05,-3.189474e+01
9.978579e-01,-1.327627e-05,-3.189473e+01
9.978446e-01,-1.327592e-05,-3.189472e+01
9.978314e-01,-1.327557e-05,-3.189472e+01
9.978181e-01,-1.327521e-05,-3.189471e+01
9.978048e-01,-1.327486e-05,-3.189470e+01
9.977915e-01,-1.327451e-05,-3.189469e+01
9.977783e-01,-1.327415e-05,-3.189468e+01
9.977650e-01,-1.327380e-05,-3.189467e+01
9.977517e-01,-1.327345e-05,-3.189466e+01
9.977384e-01,-1.327309e-05,-3.189465e+01
9.977252e-01,-1.327274e-05,-3.189464e+01
9.977119e-01,-1.327239e-05,-3.189463e+01
9.976986e-01,-1.327203e-05,-3.189462e+01
9.976853e-01,-1.327168e-05,-3.189461e+01
9.976721e-01,-1.327133e-05,-3.189460e+01
9.976588e-01,-1.327097e-05,-3.189459e+01
9.976455e-01,-1.327062e-05,-3.189459e+01
9.976323e-01,-1.327027e-05,-3.189458e+01
9.976190e-01,-1.326992e-05,-3.189457e+01
9.976057e-01,-1.326956e-05,-3.189456e+01
9.975925e-01,-1.326921e-05,-3.189456e+01
9.975792e-01,-1.326886e-05,-3.189455e+01
9.975659e-01,-1.326850e-05,-3.189455e+01
9.975526e-01,-1.326815e-05,-3.189455e+01
9.975394e-01,-1.326780e-05,-3.189454e+01
9.975261e-01,-1.326744e-05,-3.189454e+01
9.975128e-01,-1.326709e-05,-3.189454e+01
9.974996e-01,-1.326674e-05,-3.189454e+01
9.974863e-01,-1.326639e-05,-3.189455e+01
9.974730e-01,-1.326603e-05,-3.189455e+01
9.974598e-01,-1.326568e-05,-3.189456e+01
9.974465e-01,-1.326533e-05,-3.189456e+01
9.974332e-01,-1.326497e-05,-3.189457e+01
9.974200e-01,-1.326462e-05,-3.189458e+01
9.974067e-01,-1.326427e-05,-3.189459e+01
9.973935e-01,-1.326392e-05,-3.189461e+01
9.973802e-01,-1.326356e-05,-3.189462e+01
9.973669e-01,-1.326321e-05,-3.189464e+01
9.973537e-01,-1.326286e-05,-3.189465e+01
9.973404e-01,-1.326250e-05,-3.189467e+01
9.973271e-01,-1.326215e-05,-3.189469e+01
9.973139e-01,-1.326180e-05,-3.189471e+01
9.973006e-01,-1.326145e-05,-3.189473e+01
9.972874e-01,-1.326109e-05,-3.189475e+01
9.972741e-01,-1.326074e-05,-3.189477e+01
9.972608e-01,-1.326039e-05,-3.189480e+01
9.972476e-01,-1.326004e-05,-3.189482e+01
9.972343e-01,-1.325968e-05,-3.189484e+01
9.972210e-01,-1.325933e-05,-3.189487e+01
9.972078e-01,-1.325898e-05,-3.189489e+01
9.971945e-01,-1.325863e-05,-3.189492e+01
9.971813e-01,-1.325827e-05,-3.189495e+01
9.971680e-01,-1.325792e-05,-3.189497e+01
9.971548e-01,-1.325757e-05,-3.189500e+01
9.971415e-01,-1.325722e-05,-3.189502e+01
9.971282e-01,-1.325686e-05,-3.189505e+01
9.971150e-01,-1.325651e-05,-3.189508e+01
9.971017e-01,-1.325616e-05,-3.189510e+01
9.970885e-01,-1.325581e-05,-3.189513e+01
9.970752e-01,-1.325545e-05,-3.189515e+01
9.970620e-01,-1.325510e-05,-3.189518e+01
9.970487e-01,-1.325475e-05,-3.189520e+01
9.970355e-01,-1.325440e-05,-3.189522e+01
