lambda,dlambda,enthalpy
5.997577e-01,-4.796124e-06,-3.186581e+01
5.997529e-01,-4.796047e-06,-3.186576e+01
5.997481e-01,-4.795970e-06,-3.186572e+01
5.997433e-01,-4.795894e-06,-3.186568e+01
5.997385e-01,-4.795817e-06,-3.186564e+01
5.997337e-01,-4.795740e-06,-3.186561e+01
5.997289e-01,-4.795664e-06,-3.186557e+01
5.997241e-01,-4.795587e-06,-3.186554e+01
5.997193e-01,-4.795510e-06,-3.186551e+01
5.997145e-01,-4.795434e-06,-3.186548e+01
5.997097e-01,-4.795357e-06,-3.186546e+01
5.997049e-01,-4.795280e-06,-3.186544e+01
5.997001e-01,-4.795204e-06,-3.186542e+01
5.996954e-01,-4.795127e-06,-3.186540e+01
5.996906e-01,-4.795050e-06,-3.186539e+01
5.996858e-01,-4.794974e-06,-3.186538e+01
5.996810e-01,-4.794897e-06,-3.186537e+01
5.996762e-01,-4.794820e-06,-3.186537e+01
5.996714e-01,-4.794743e-06,-3.186537e+01
5.996666e-01,-4.794667e-06,-3.186537e+01
5.996618e-01,-4.794590e-06,-3.186538e+01
5.996570e-01,-4.794513e-06,-3.186539e+01
5.996522e-01,-4.794437e-06,-3.186540e+01
5.996474e-01,-4.794360e-06,-3.186541e+01
5.996426e-01,-4.794283e-06,-3.186543e+01
5.996378e-01,-4.794207e-06,-3.186544e+01
5.996330e-01,-4.794130e-06,-3.186546e+01
5.996282e-01,-4.794053e-06,-3.186549e+01
5.996234e-01,-4.793977e-06,-3.186551e+01
5.996186e-01,-4.793900e-06,-3.186554e+01
5.996138e-01,-4.793824e-06,-3.186557e+01
5.996091e-01,-4.793747e-06,-3.186560e+01
5.996043e-01,-4.793670e-06,-3.186563e+01
5.995995e-01,-4.793594e-06,-3.186566e+01
5.995947e-01,-4.793517e-06,-3.186570e+01
5.995899e-01,-4.793440e-06,-3.186574e+01
5.995851e-01,-4.793364e-06,-3.186577e+01
5.995803e-01,-4.793287e-06,-3.186581e+01
5.995755e-01,-4.793210e-06,-3.186585e+01
5.995707e-01,-4.793134e-06,-3.186589e+01
5.995659e-01,-4.793057e-06,-3.186594e+01
5.995611e-01,-4.792980e-06,-3.186598e+01
5.995563e-01,-4.792904e-06,-3.186602e+01
5.995515e-01,-4.792827e-06,-3.186607e+01
5.995467e-01,-4.792751e-06,-3.186611e+01
5.995419e-01,-4.792674e-06,-3.186615e+01
5.995372e-01,-4.792597e-06,-3.186620e+01
5.995324e-01,-4.792521e-06,-3.186624e+01
5.995276e-01,-4.792444e-06,-3.186629e+01
5.995228e-01,-4.792367e-06,-3.186633e+01
5.995180e-01,-4.792291e-06,-3.186638e+01
5.995132e-01,-4.792214e-06,-3.186642e+01
5.995084e-01,-4.792138e-06,-3.186646e+01
5.995036e-01,-4.792061e-06,-3.186650e+01
5.994988e-01,-4.791984e-06,-3.186655e+01
5.994940e-01,-4.791908e-06,-3.186659e+01
5.994892e-01,-4.791831e-06,-3.186662e+01
5.994844e-01,-4.791755e-06,-3.186666e+01
5.994796e-01,-4.791678e-06,-3.186670e+01
5.994749e-01,-4.791601e-06,-3.186674e+01
5.994701e-01,-4.791525e-06,-3.186677e+01
5.994653e-01,-4.791448e-06,-3.186680e+01
5.994605e-01,-4.791372e-06,-3.186683e+01
5.994557e-01,-4.791295e-06,-3.186686e+01
5.994509e-01,-4.791218e-06,-3.186689e+01
5.994461e-01,-4.791142e-06,-3.186691e+01
5.994413e-01,-4.791065e-06,-3.186693e+01
5.994365e-01,-4.790989e-06,-3.186695e+01
5.994317e-01,-4.790912e-06,-3.186697e+01
5.994269e-01,-4.790835e-06,-3.186699e+01
5.994222e-01,-4.790759e-06,-3.186700e+01
5.994174e-01,-4.790682e-06,-3.186701e+01
5.994126e-01,-4.790606e-06,-3.186702e+01
5.994078e-01,-4.790529e-06,-3.186702e+01
5.994030e-01,-4.790453e-06,-3.186703e+01
5.993982e-01,-4.790376e-06,-3.186702e+01
5.993934e-01,-4.790299e-06,-3.186702e+01
5.993886e-01,-4.790223e-06,-3.186702e+01
5.993838e-01,-4.790146e-06,-3.186701e+01
5.993790e-01,-4.790070e-06,-3.186700e+01
5.993742e-01,-4.789993e-06,-3.186698e+01
5.993695e-01,-4.789917e-06,-3.186697e+01
5.993647e-01,-4.789840e-06,-3.186695e+01
5.993599e-01,-4.789763e-06,-3.186692e+01
5.993551e-01,-4.789687e-06,-3.186690e+01
5.993503e-01,-4.789610e-06,-3.186687e+01
5.993455e-01,-4.789534e-06,-3.186685e+01
5.993407e-01,-4.789457e-06,-3.186681e+01
5.993359e-01,-4.789381e-06,-3.186678e+01
5.993311e-01,-4.789304e-06,-3.186675e+01
5.993264e-01,-4.789228e-06,-3.186671e+01
5.993216e-01,-4.789151e-06,-3.186667e+01
5.993168e-01,-4.789075e-06,-3.186663e+01
5.993120e-01,-4.788998e-06,-3.186659e+01
5.993072e-01,-4.788922e-06,-3.186655e+01
5.993024e-01,-4.788845e-06,-3.186651e+01
5.992976e-01,-4.788768e-06,-3.186647e+01
5.992928e-01,-4.788692e-06,-3.186643e+01
5.992880e-01,-4.788615e-06,-3.186638e+01
5.992833e-01,-4.788539e-06,-3.186634e+01
5.992785e-01,-4.788462e-06,-3.186630e+01
5.992737e-01,-4.788386e-06,-3.186626e+01
5.992689e-01,-4.788309e-06,-3.186622e+01
5.992641e-01,-4.788233e-06,-3.186617e+01
5.992593e-01,-4.788156e-06,-3.186614e+01
5.992545e-01,-4.788080e-06,-3.186610e+01
5.992497e-01,-4.788003e-06,-3.186606e+01
5.992449e-01,-4.787927e-06,-3.186602e+01
5.992402e-01,-4.787850e-06,-3.186599e+01
5.992354e-01,-4.787774e-06,-3.186595e+01
5.992306e-01,-4.787697e-06,-3.186592e+01
5.992258e-01,-4.787621e-06,-3.186589e+01
5.992210e-01,-4.787544e-06,-3.186587e+01
5.992162e-01,-4.787468e-06,-3.186584e+01
5.992114e-01,-4.787391e-06,-3.186582e+01
5.992066e-01,-4.787315e-06,-3.186579e+01
5.992019e-01,-4.787238e-06,-3.186577e+01
5.991971e-01,-4.787162e-06,-3.186576e+01
5.991923e-01,-4.787085e-06,-3.186574e+01
5.991875e-01,-4.787009e-06,-3.186573e+01
5.991827e-01,-4.786932e-06,-3.186571e+01
5.991779e-01,-4.786856e-06,-3.186570e+01
5.991731e-01,-4.786779e-06,-3.186570e+01
5.991683e-01,-4.786703e-06,-3.186569e+01
5.991636e-01,-4.786626e-06,-3.186568e+01
5.991588e-01,-4.786550e-06,-3.186568e+01
5.991540e-01,-4.786473e-06,-3.186568e+01
5.991492e-01,-4.786397e-06,-3.186568e+01
5.991444e-01,-4.786320e-06,-3.186568e+01
5.991396e-01,-4.786244e-06,-3.186569e+01
5.991348e-01,-4.786167e-06,-3.186569e+01
5.991301e-01,-4.786091e-06,-3.186570e+01
5.991253e-01,-4.786014e-06,-3.186571e+01
5.991205e-01,-4.785938e-06,-3.186572e+01
5.991157e-01,-4.785862e-06,-3.186573e+01
5.991109e-01,-4.785785e-06,-3.186574e+01
5.991061e-01,-4.785709e-06,-3.186576e+01
5.991013e-01,-4.785632e-06,-3.186578e+01
5.990966e-01,-4.785556e-06,-3.186579e+01
5.990918e-01,-4.785479e-06,-3.186581e+01
5.990870e-01,-4.785403e-06,-3.186583e+01
5.990822e-01,-4.785326e-06,-3.186585e+01
5.990774e-01,-4.785250e-06,-3.186587e+01
5.990726e-01,-4.785173e-06,-3.186590e+01
5.990678e-01,-4.785097e-06,-3.186592e+01
5.990631e-01,-4.785021e-06,-3.186595e+01
5.990583e-01,-4.784944e-06,-3.186597e+01
5.990535e-01,-4.784868e-06,-3.186600e+01
5.990487e-01,-4.784791e-06,-3.186603e+01
5.990439e-01,-4.784715e-06,-3.186606e+01
5.990391e-01,-4.784638e-06,-3.186609e+01
5.990343e-01,-4.784562e-06,-3.186612e+01
5.990296e-01,-4.784486e-06,-3.186615e+01
5.990248e-01,-4.784409e-06,-3.186619e+01
5.990200e-01,-4.784333e-06,-3.186622e+01
5.990152e-01,-4.784256e-06,-3.186625e+01
5.990104e-01,-4.784180e-06,-3.186629e+01
5.990056e-01,-4.784103e-06,-3.186632e+01
5.990009e-01,-4.784027e-06,-3.186636e+01
5.989961e-01,-4.783951e-06,-3.186639e+01
5.989913e-01,-4.783874e-06,-3.186643e+01
5.989865e-01,-4.783798e-06,-3.186647e+01
5.989817e-01,-4.783721e-06,-3.186650e+01
5.989769e-01,-4.783645e-06,-3.186654e+01
5.989722e-01,-4.783569e-06,-3.186657e+01
5.989674e-01,-4.783492e-06,-3.186661e+01
5.989626e-01,-4.783416e-06,-3.186664e+01
5.989578e-01,-4.783339e-06,-3.186667e+01
5.989530e-01,-4.783263e-06,-3.186670e+01
5.989482e-01,-4.783187e-06,-3.186673e+01
5.989435e-01,-4.783110e-06,-3.186676e+01
5.989387e-01,-4.783034e-06,-3.186679e+01
5.989339e-01,-4.782957e-06,-3.186682e+01
5.989291e-01,-4.782881e-06,-3.186684e+01
5.989243e-01,-4.782805e-06,-3.186686e+01
5.989195e-01,-4.782728e-06,-3.186688e+01
5.989148e-01,-4.782652e-06,-3.186690e+01
5.989100e-01,-4.782575e-06,-3.186692e+01
5.989052e-01,-4.782499e-06,-3.186694e+01
5.989004e-01,-4.782423e-06,-3.186695e+01
5.988956e-01,-4.782346e-06,-3.186696e+01
5.988908e-01,-4.782270e-06,-3.186697e+01
5.988861e-01,-4.782194e-06,-3.186697e+01
5.988813e-01,-4.782117e-06,-3.186697e+01
5.988765e-01,-4.782041e-06,-3.186697e+01
5.988717e-01,-4.781964e-06,-3.186697e+01
5.988669e-01,-4.781888e-06,-3.186697e+01
5.988622e-01,-4.781812e-06,-3.186696e+01
5.988574e-01,-4.781735e-06,-3.186695e+01
5.988526e-01,-4.781659e-06,-3.186694e+01
5.988478e-01,-4.781583e-06,-3.186692e+01
5.988430e-01,-4.781506e-06,-3.186690e+01
5.988382e-01,-4.781430e-06,-3.186688e+01
5.988335e-01,-4.781354e-06,-3.186686e+01
5.988287e-01,-4.781277e-06,-3.186684e+01
5.988239e-01,-4.781201e-06,-3.186681e+01
5.988191e-01,-4.781124e-06,-3.186679e+01
5.988143e-01,-4.781048e-06,-3.186676e+01
5.988096e-01,-4.780972e-06,-3.186672e+01
5.988048e-01,-4.780895e-06,-3.186669e+01
5.988000e-01,-4.780819e-06,-3.186666e+01
5.987952e-01,-4.780743e-06,-3.186662e+01
5.987904e-01,-4.780666e-06,-3.186659e+01
5.987857e-01,-4.780590e-06,-3.186655e+01
5.987809e-01,-4.780514e-06,-3.186651e+01
5.987761e-01,-4.780437e-06,-3.186647e+01
5.987713e-01,-4.780361e-06,-3.186643e+01
5.987665e-01,-4.780285e-06,-3.186640e+01
5.987617e-01,-4.780208e-06,-3.186636e+01
5.987570e-01,-4.780132e-06,-3.186632e+01
5.987522e-01,-4.780056e-06,-3.186628e+01
5.987474e-01,-4.779979e-06,-3.186624e+01
5.987426e-01,-4.779903e-06,-3.186620e+01
5.987378e-01,-4.779827e-06,-3.186617e+01
5.987331e-01,-4.779750e-06,-3.186613e+01
5.987283e-01,-4.779674e-06,-3.186609e+01
5.987235e-01,-4.779598e-06,-3.186606e+01
5.987187e-01,-4.779522e-06,-3.186602e+01
5.987139e-01,-4.779445e-06,-3.186599e+01
5.987092e-01,-4.779369e-06,-3.186596e+01
5.987044e-01,-4.779293e-06,-3.186593e+01
5.986996e-01,-4.779216e-06,-3.186590e+01
5.986948e-01,-4.779140e-06,-3.186587e+01
5.986901e-01,-4.779064e-06,-3.186584e+01
5.986853e-01,-4.778987e-06,-3.186581e+01
5.986805e-01,-4.778911e-06,-3.186578e+01
5.986757e-01,-4.778835e-06,-3.186576e+01
5.986709e-01,-4.778759e-06,-3.186574e+01
5.986662e-01,-4.778682e-06,-3.186571e+01
5.986614e-01,-4.778606e-06,-3.186569e+01
5.986566e-01,-4.778530e-06,-3.186567e+01
5.986518e-01,-4.778453e-06,-3.186565e+01
5.986470e-01,-4.778377e-06,-3.186563e+01
5.986423e-01,-4.778301e-06,-3.186562e+01
5.986375e-01,-4.778225e-06,-3.186560e+01
5.986327e-01,-4.778148e-06,-3.186558e+01
5.986279e-01,-4.778072e-06,-3.186557e+01
5.986232e-01,-4.777996e-06,-3.186555e+01
5.986184e-01,-4.777919e-06,-3.186554e+01
5.986136e-01,-4.777843e-06,-3.186553e+01
5.986088e-01,-4.777767e-06,-3.186552e+01
5.986040e-01,-4.777691e-06,-3.186551e+01
5.985993e-01,-4.777614e-06,-3.186550e+01
5.985945e-01,-4.777538e-06,-3.186549e+01
5.985897e-01,-4.777462e-06,-3.186548e+01
5.985849e-01,-4.777386e-06,-3.186547e+01
5.985802e-01,-4.777309e-06,-3.186547e+01
5.985754e-01,-4.777233e-06,-3.186546e+01
5.985706e-01,-4.777157e-06,-3.186546e+01
5.985658e-01,-4.777081e-06,-3.186545e+01
5.985610e-01,-4.777004e-06,-3.186545e+01
5.985563e-01,-4.776928e-06,-3.186544e+01
5.985515e-01,-4.776852e-06,-3.186544e+01
5.985467e-01,-4.776776e-06,-3.186544e+01
5.985419e-01,-4.776699e-06,-3.186543e+01
5.985372e-01,-4.776623e-06,-3.186543e+01
5.985324e-01,-4.776547e-06,-3.186543e+01
5.985276e-01,-4.776471e-06,-3.186543e+01
5.985228e-01,-4.776394e-06,-3.186542e+01
5.985181e-01,-4.776318e-06,-3.186542e+01
5.985133e-01,-4.776242e-06,-3.186542e+01
5.985085e-01,-4.776166e-06,-3.186542e+01
5.985037e-01,-4.776089e-06,-3.186542e+01
5.984989e-01,-4.776013e-06,-3.186541e+01
5.984942e-01,-4.775937e-06,-3.186541e+01
5.984894e-01,-4.775861e-06,-3.186541e+01
5.984846e-01,-4.775785e-06,-3.186540e+01
5.984798e-01,-4.775708e-06,-3.186540e+01
5.984751e-01,-4.775632e-06,-3.186539e+01
5.984703e-01,-4.775556e-06,-3.186538e+01
5.984655e-01,-4.775480e-06,-3.186537e+01
5.984607e-01,-4.775403e-06,-3.186536e+01
5.984560e-01,-4.775327e-06,-3.186535e+01
5.984512e-01,-4.775251e-06,-3.186534e+01
5.984464e-01,-4.775175e-06,-3.186533e+01
5.984416e-01,-4.775099e-06,-3.186531e+01
5.984369e-01,-4.775022e-06,-3.186530e+01
5.984321e-01,-4.774946e-06,-3.186528e+01
5.984273e-01,-4.774870e-06,-3.186526e+01
5.984225e-01,-4.774794e-06,-3.186524e+01
5.984178e-01,-4.774718e-06,-3.186521e+01
5.984130e-01,-4.774641e-06,-3.186519e+01
5.984082e-01,-4.774565e-06,-3.186516e+01
5.984034e-01,-4.774489e-06,-3.186513e+01
5.983987e-01,-4.774413e-06,-3.186510e+01
5.983939e-01,-4.774337e-06,-3.186506e+01
5.983891e-01,-4.774261e-06,-3.186503e+01
5.983843e-01,-4.774184e-06,-3.186499e+01
5.983796e-01,-4.774108e-06,-3.186495e+01
5.983748e-01,-4.774032e-06,-3.186491e+01
5.983700e-01,-4.773956e-06,-3.186487e+01
5.983652e-01,-4.773880e-06,-3.186482e+01
5.983605e-01,-4.773803e-06,-3.186478e+01
5.983557e-01,-4.773727e-06,-3.186473e+01
5.983509e-01,-4.773651e-06,-3.186468e+01
5.983462e-01,-4.773575e-06,-3.186463e+01
5.983414e-01,-4.773499e-06,-3.186458e+01
5.983366e-01,-4.773423e-06,-3.186452e+01
5.983318e-01,-4.773346e-06,-3.186447e+01
5.983271e-01,-4.773270e-06,-3.186442e+01
5.983223e-01,-4.773194e-06,-3.186436e+01
5.983175e-01,-4.773118e-06,-3.186430e+01
5.983127e-01,-4.773042e-06,-3.186424e+01
5.983080e-01,-4.772966e-06,-3.186419e+01
5.983032e-01,-4.772890e-06,-3.186413e+01
5.982984e-01,-4.772813e-06,-3.186407e+01
5.982936e-01,-4.772737e-06,-3.186401e+01
5.982889e-01,-4.772661e-06,-3.186395e+01
5.982841e-01,-4.772585e-06,-3.186389e+01
5.982793e-01,-4.772509e-06,-3.186383e+01
5.982746e-01,-4.772433e-06,-3.186377e+01
5.982698e-01,-4.772356e-06,-3.186371e+01
5.982650e-01,-4.772280e-06,-3.186365e+01
5.982602e-01,-4.772204e-06,-3.186360e+01
5.982555e-01,-4.772128e-06,-3.186354e+01
5.982507e-01,-4.772052e-06,-3.186348e+01
5.982459e-01,-4.771976e-06,-3.186343e+01
5.982412e-01,-4.771900e-06,-3.186338e+01
5.982364e-01,-4.771824e-06,-3.186332e+01
5.982316e-01,-4.771747e-06,-3.186327e+01
5.982268e-01,-4.771671e-06,-3.186322e+01
5.982221e-01,-4.771595e-06,-3.186317e+01
5.982173e-01,-4.771519e-06,-3.186312e+01
5.982125e-01,-4.771443e-06,-3.186308e+01
5.982078e-01,-4.771367e-06,-3.186303e+01
5.982030e-01,-4.771291e-06,-3.186299e+01
5.981982e-01,-4.771215e-06,-3.186295e+01
5.981934e-01,-4.771139e-06,-3.186291e+01
5.981887e-01,-4.771062e-06,-3.186287e+01
5.981839e-01,-4.770986e-06,-3.186283e+01
5.981791e-01,-4.770910e-06,-3.186280e+01
5.981744e-01,-4.770834e-06,-3.186276e+01
5.981696e-01,-4.770758e-06,-3.186273e+01
5.981648e-01,-4.770682e-06,-3.186270e+01
5.981600e-01,-4.770606e-06,-3.186268e+01
5.981553e-01,-4.770530e-06,-3.186265e+01
5.981505e-01,-4.770454e-06,-3.186263e+01
5.981457e-01,-4.770378e-06,-3.186261e+01
5.981410e-01,-4.770301e-06,-3.186259e+01
5.981362e-01,-4.770225e-06,-3.186257e+01
5.981314e-01,-4.770149e-06,-3.186256e+01
5.981266e-01,-4.770073e-06,-3.186255e+01
5.981219e-01,-4.769997e-06,-3.186254e+01
5.981171e-01,-4.769921e-06,-3.186253e+01
5.981123e-01,-4.769845e-06,-3.186252e+01
5.981076e-01,-4.769769e-06,-3.186252e+01
5.981028e-01,-4.769693e-06,-3.186252e+01
5.980980e-01,-4.769617e-06,-3.186252e+01
5.980933e-01,-4.769541e-06,-3.186252e+01
5.980885e-01,-4.769465e-06,-3.186253e+01
5.980837e-01,-4.769388e-06,-3.186254e+01
5.980790e-01,-4.769312e-06,-3.186255e+01
5.980742e-01,-4.769236e-06,-3.186256e+01
5.980694e-01,-4.769160e-06,-3.186257e+01
5.980646e-01,-4.769084e-06,-3.186259e+01
5.980599e-01,-4.769008e-06,-3.186261e+01
5.980551e-01,-4.768932e-06,-3.186263e+01
5.980503e-01,-4.768856e-06,-3.186265e+01
5.980456e-01,-4.768780e-06,-3.186268e+01
5.980408e-01,-4.768704e-06,-3.186270e+01
5.980360e-01,-4.768628e-06,-3.186273e+01
5.980313e-01,-4.768552e-06,-3.186276e+01
5.980265e-01,-4.768476e-06,-3.186279e+01
5.980217e-01,-4.768400e-06,-3.186282e+01
5.980170e-01,-4.768324e-06,-3.186286e+01
5.980122e-01,-4.768248e-06,-3.186290e+01
5.980074e-01,-4.768172e-06,-3.186293e+01
5.980027e-01,-4.768096e-06,-3.186297e+01
5.979979e-01,-4.768020e-06,-3.186301e+01
5.979931e-01,-4.767944e-06,-3.186305e+01
5.979883e-01,-4.767868e-06,-3.186310e+01
5.979836e-01,-4.767791e-06,-3.186314e+01
5.979788e-01,-4.767715e-06,-3.186319e+01
5.979740e-01,-4.767639e-06,-3.186323e+01
5.979693e-01,-4.767563e-06,-3.186328e+01
5.979645e-01,-4.767487e-06,-3.186332e+01
5.979597e-01,-4.767411e-06,-3.186337e+01
5.979550e-01,-4.767335e-06,-3.186342e+01
5.979502e-01,-4.767259e-06,-3.186347e+01
5.979454e-01,-4.767183e-06,-3.186352e+01
5.979407e-01,-4.767107e-06,-3.186356e+01
5.979359e-01,-4.767031e-06,-3.186361e+01
5.979311e-01,-4.766955e-06,-3.186366e+01
5.979264e-01,-4.766879e-06,-3.186371e+01
5.979216e-01,-4.766803e-06,-3.186375e+01
5.979168e-01,-4.766727e-06,-3.186380e+01
5.979121e-01,-4.766651e-06,-3.186384e+01
5.979073e-01,-4.766575e-06,-3.186389e+01
5.979025e-01,-4.766499e-06,-3.186393e+01
5.978978e-01,-4.766423e-06,-3.186397e+01
5.978930e-01,-4.766347e-06,-3.186401e+01
5.978882e-01,-4.766271e-06,-3.186404e+01
5.978835e-01,-4.766195e-06,-3.186408e+01
5.978787e-01,-4.766119e-06,-3.186411e+01
5.978739e-01,-4.766043e-06,-3.186414e+01
5.978692e-01,-4.765967e-06,-3.186417e+01
5.978644e-01,-4.765891e-06,-3.186419e+01
5.978596e-01,-4.765815e-06,-3.186421e+01
5.978549e-01,-4.765739e-06,-3.186423e+01
5.978501e-01,-4.765663e-06,-3.186425e+01
5.978453e-01,-4.765587e-06,-3.186426e+01
5.978406e-01,-4.765511e-06,-3.186427e+01
5.978358e-01,-4.765435e-06,-3.186428e+01
5.978310e-01,-4.765359e-06,-3.186428e+01
5.978263e-01,-4.765284e-06,-3.186428e+01
5.978215e-01,-4.765208e-06,-3.186427e+01
5.978168e-01,-4.765132e-06,-3.186426e+01
5.978120e-01,-4.765056e-06,-3.186425e+01
5.978072e-01,-4.764980e-06,-3.186424e+01
5.978025e-01,-4.764904e-06,-3.186422e+01
5.977977e-01,-4.764828e-06,-3.186420e+01
5.977929e-01,-4.764752e-06,-3.186418e+01
5.977882e-01,-4.764676e-06,-3.186415e+01
5.977834e-01,-4.764600e-06,-3.186413e+01
5.977786e-01,-4.764524e-06,-3.186410e+01
5.977739e-01,-4.764448e-06,-3.186406e+01
5.977691e-01,-4.764372e-06,-3.186403e+01
5.977643e-01,-4.764296e-06,-3.186400e+01
5.977596e-01,-4.764220e-06,-3.186396e+01
5.977548e-01,-4.764144e-06,-3.186393e+01
5.977500e-01,-4.764068e-06,-3.186389e+01
5.977453e-01,-4.763992e-06,-3.186385e+01
5.977405e-01,-4.763916e-06,-3.186381e+01
5.977358e-01,-4.763840e-06,-3.186378e+01
5.977310e-01,-4.763764e-06,-3.186374e+01
5.977262e-01,-4.763689e-06,-3.186371e+01
5.977215e-01,-4.763613e-06,-3.186368e+01
5.977167e-01,-4.763537e-06,-3.186364e+01
5.977119e-01,-4.763461e-06,-3.186361e+01
5.977072e-01,-4.763385e-06,-3.186358e+01
5.977024e-01,-4.763309e-06,-3.186356e+01
5.976976e-01,-4.763233e-06,-3.186353e+01
5.976929e-01,-4.763157e-06,-3.186351e+01
5.976881e-01,-4.763081e-06,-3.186349e+01
5.976834e-01,-4.763005e-06,-3.186348e+01
5.976786e-01,-4.762929e-06,-3.186346e+01
5.976738e-01,-4.762853e-06,-3.186345e+01
5.976691e-01,-4.762778e-06,-3.186344e+01
5.976643e-01,-4.762702e-06,-3.186344e+01
5.976595e-01,-4.762626e-06,-3.186343e+01
5.976548e-01,-4.762550e-06,-3.186343e+01
5.976500e-01,-4.762474e-06,-3.186343e+01
5.976453e-01,-4.762398e-06,-3.186343e+01
5.976405e-01,-4.762322e-06,-3.186344e+01
5.976357e-01,-4.762246e-06,-3.186345e+01
5.976310e-01,-4.762170e-06,-3.186346e+01
5.976262e-01,-4.762094e-06,-3.186347e+01
5.976214e-01,-4.762019e-06,-3.186348e+01
5.976167e-01,-4.761943e-06,-3.186350e+01
5.976119e-01,-4.761867e-06,-3.186351e+01
5.976072e-01,-4.761791e-06,-3.186353e+01
5.976024e-01,-4.761715e-06,-3.186355e+01
5.975976e-01,-4.761639e-06,-3.186357e+01
5.975929e-01,-4.761563e-06,-3.186359e+01
5.975881e-01,-4.761487e-06,-3.186361e+01
5.975833e-01,-4.761411e-06,-3.186363e+01
5.975786e-01,-4.761336e-06,-3.186366e+01
5.975738e-01,-4.761260e-06,-3.186368e+01
5.975691e-01,-4.761184e-06,-3.186371e+01
5.975643e-01,-4.761108e-06,-3.186373e+01
5.975595e-01,-4.761032e-06,-3.186376e+01
5.975548e-01,-4.760956e-06,-3.186378e+01
5.975500e-01,-4.760880e-06,-3.186381e+01
5.975453e-01,-4.760804e-06,-3.186383e+01
5.975405e-01,-4.760729e-06,-3.186386e+01
5.975357e-01,-4.760653e-06,-3.186389e+01
5.975310e-01,-4.760577e-06,-3.186391e+01
5.975262e-01,-4.760501e-06,-3.186394e+01
5.975215e-01,-4.760425e-06,-3.186396e+01
5.975167e-01,-4.760349e-06,-3.186399e+01
5.975119e-01,-4.760274e-06,-3.186402e+01
5.975072e-01,-4.760198e-06,-3.186404e+01
5.975024e-01,-4.760122e-06,-3.186407e+01
5.974977e-01,-4.760046e-06,-3.186409e+01
5.974929e-01,-4.759970e-06,-3.186411e+01
5.974881e-01,-4.759894e-06,-3.186414e+01
5.974834e-01,-4.759818e-06,-3.186416e+01
5.974786e-01,-4.759743e-06,-3.186419e+01
5.974739e-01,-4.759667e-06,-3.186421e+01
5.974691e-01,-4.759591e-06,-3.186423e+01
5.974643e-01,-4.759515e-06,-3.186425e+01
5.974596e-01,-4.759439e-06,-3.186427e+01
5.974548e-01,-4.759363e-06,-3.186429e+01
5.974501e-01,-4.759288e-06,-3.186431e+01
5.974453e-01,-4.759212e-06,-3.186433e+01
5.974405e-01,-4.759136e-06,-3.186435e+01
5.974358e-01,-4.759060e-06,-3.186437e+01
5.974310e-01,-4.758984e-06,-3.186439e+01
5.974263e-01,-4.758909e-06,-3.186440e+01
5.974215e-01,-4.758833e-06,-3.186442e+01
5.974167e-01,-4.758757e-06,-3.186443e+01
5.974120e-01,-4.758681e-06,-3.186445e+01
5.974072e-01,-4.758605e-06,-3.186446e+01
5.974025e-01,-4.758529e-06,-3.186447e+01
5.973977e-01,-4.758454e-06,-3.186448e+01
5.973930e-01,-4.758378e-06,-3.186449e+01
5.973882e-01,-4.758302e-06,-3.186450e+01
5.973834e-01,-4.758226e-06,-3.186450e+01
5.973787e-01,-4.758150e-06,-3.186451e+01
5.973739e-01,-4.758075e-06,-3.186451e+01
5.973692e-01,-4.757999e-06,-3.186451e+01
5.973644e-01,-4.757923e-06,-3.186452e+01
5.973596e-01,-4.757847e-06,-3.186451e+01
5.973549e-01,-4.757771e-06,-3.186451e+01
5.973501e-01,-4.757696e-06,-3.186451e+01
5.973454e-01,-4.757620e-06,-3.186450e+01
5.973406e-01,-4.757544e-06,-3.186450e+01
5.973359e-01,-4.757468e-06,-3.186449e+01
5.973311e-01,-4.757393e-06,-3.186448e+01
5.973263e-01,-4.757317e-06,-3.186447e+01
5.973216e-01,-4.757241e-06,-3.186445e+01
5.973168e-01,-4.757165e-06,-3.186444e+01
5.973121e-01,-4.757089e-06,-3.186442e+01
5.973073e-01,-4.757014e-06,-3.186440e+01
5.973026e-01,-4.756938e-06,-3.186439e+01
5.972978e-01,-4.756862e-06,-3.186436e+01
5.972930e-01,-4.756786e-06,-3.186434e+01
5.972883e-01,-4.756711e-06,-3.186432e+01
5.972835e-01,-4.756635e-06,-3.186429e+01
5.972788e-01,-4.756559e-06,-3.186427e+01
5.972740e-01,-4.756483e-06,-3.186424e+01
5.972693e-01,-4.756408e-06,-3.186421e+01
5.972645e-01,-4.756332e-06,-3.186418e+01
5.972597e-01,-4.756256e-06,-3.186415e+01
5.972550e-01,-4.756180e-06,-3.186412e+01
5.972502e-01,-4.756105e-06,-3.186409e+01
5.972455e-01,-4.756029e-06,-3.186405e+01
5.972407e-01,-4.755953e-06,-3.186402e+01
5.972360e-01,-4.755877e-06,-3.186399e+01
5.972312e-01,-4.755802e-06,-3.186395e+01
5.972265e-01,-4.755726e-06,-3.186392e+01
5.972217e-01,-4.755650e-06,-3.186388e+01
5.972169e-01,-4.755574e-06,-3.186385e+01
5.972122e-01,-4.755499e-06,-3.186381e+01
5.972074e-01,-4.755423e-06,-3.186378e+01
5.972027e-01,-4.755347e-06,-3.186374e+01
5.971979e-01,-4.755271e-06,-3.186371e+01
