lambda,dlambda,pe,espring
1.024086e-13,5.330366e-15,-3.187000e+01,4.675119e-02
1.078511e-13,5.555736e-15,-3.186998e+01,4.674113e-02
1.135224e-13,5.788174e-15,-3.186997e+01,4.673012e-02
1.194298e-13,6.027825e-15,-3.186995e+01,4.672149e-02
1.255805e-13,6.274838e-15,-3.186994e+01,4.671343e-02
1.319820e-13,6.529360e-15,-3.186992e+01,4.670652e-02
1.386418e-13,6.791542e-15,-3.186991e+01,4.669764e-02
1.455677e-13,7.061537e-15,-3.186990e+01,4.668914e-02
1.527675e-13,7.339497e-15,-3.186989e+01,4.667785e-02
1.602494e-13,7.625578e-15,-3.186988e+01,4.666673e-02
1.680215e-13,7.919935e-15,-3.186987e+01,4.665801e-02
1.760921e-13,8.222727e-15,-3.186987e+01,4.665011e-02
1.844698e-13,8.534113e-15,-3.186987e+01,4.663912e-02
1.931632e-13,8.854254e-15,-3.186987e+01,4.662995e-02
2.021813e-13,9.183312e-15,-3.186987e+01,4.661966e-02
2.115329e-13,9.521451e-15,-3.186987e+01,4.661219e-02
2.212272e-13,9.868836e-15,-3.186986e+01,4.660446e-02
2.312737e-13,1.022563e-14,-3.186985e+01,4.659819e-02
2.416817e-13,1.059201e-14,-3.186984e+01,4.659138e-02
2.524610e-13,1.096814e-14,-3.186983e+01,4.658572e-02
2.636213e-13,1.135419e-14,-3.186981e+01,4.657854e-02
2.751727e-13,1.175034e-14,-3.186980e+01,4.656962e-02
2.871254e-13,1.215675e-14,-3.186980e+01,4.655840e-02
2.994897e-13,1.257361e-14,-3.186979e+01,4.654354e-02
3.122761e-13,1.300109e-14,-3.186979e+01,4.652947e-02
3.254955e-13,1.343937e-14,-3.186980e+01,4.651814e-02
3.391585e-13,1.388862e-14,-3.186980e+01,4.650729e-02
3.532764e-13,1.434904e-14,-3.186981e+01,4.649614e-02
3.678604e-13,1.482081e-14,-3.186983e+01,4.648403e-02
3.829219e-13,1.530410e-14,-3.186984e+01,4.646945e-02
3.984725e-13,1.579911e-14,-3.186986e+01,4.645576e-02
4.145241e-13,1.630601e-14,-3.186988e+01,4.644314e-02
4.310886e-13,1.682501e-14,-3.186991e+01,4.642872e-02
4.481782e-13,1.735629e-14,-3.186994e+01,4.641435e-02
4.658053e-13,1.790005e-14,-3.186998e+01,4.639882e-02
4.839825e-13,1.845647e-14,-3.187001e+01,4.638150e-02
5.027225e-13,1.902575e-14,-3.187005e+01,4.636598e-02
5.220383e-13,1.960808e-14,-3.187010e+01,4.635168e-02
5.419431e-13,2.020367e-14,-3.187014e+01,4.633719e-02
5.624502e-13,2.081272e-14,-3.187018e+01,4.632332e-02
5.835731e-13,2.143542e-14,-3.187023e+01,4.630978e-02
6.053256e-13,2.207198e-14,-3.187027e+01,4.629575e-02
6.277217e-13,2.272260e-14,-3.187031e+01,4.628273e-02
6.507756e-13,2.338748e-14,-3.187035e+01,4.626932e-02
6.745015e-13,2.406683e-14,-3.187039e+01,4.625450e-02
6.989141e-13,2.476087e-14,-3.187042e+01,4.623876e-02
7.240282e-13,2.546979e-14,-3.187044e+01,4.622445e-02
7.498588e-13,2.619382e-14,-3.187046e+01,4.620981e-02
7.764210e-13,2.693315e-14,-3.187048e+01,4.619603e-02
8.037302e-13,2.768802e-14,-3.187050e+01,4.618206e-02
8.318022e-13,2.845862e-14,-3.187051e+01,4.616849e-02
8.606528e-13,2.924518e-14,-3.187053e+01,4.615618e-02
8.902980e-13,3.004792e-14,-3.187055e+01,4.614374e-02
9.207541e-13,3.086706e-14,-3.187057e+01,4.612926e-02
9.520377e-13,3.170282e-14,-3.187058e+01,4.611393e-02
9.841654e-13,3.255541e-14,-3.187058e+01,4.610130e-02
1.017154e-12,3.342507e-14,-3.187058e+01,4.609124e-02
1.051021e-12,3.431203e-14,-3.187057e+01,4.608019e-02
1.085784e-12,3.521649e-14,-3.187057e+01,4.607202e-02
1.121460e-12,3.613871e-14,-3.187056e+01,4.606097e-02
