Neighbor info at step 209000: radial(max=30,actual=24), angular(max=20,actual=16).
Neighbor info at step 210000: radial(max=30,actual=25), angular(max=20,actual=16).
Neighbor info at step 211000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 212000: radial(max=30,actual=25), angular(max=20,actual=16).
Neighbor info at step 213000: radial(max=30,actual=25), angular(max=20,actual=15).
Neighbor info at step 214000: radial(max=30,actual=24), angular(max=20,actual=16).
Neighbor info at step 215000: radial(max=30,actual=24), angular(max=20,actual=16).
Neighbor info at step 216000: radial(max=30,actual=24), angular(max=20,actual=16).
Neighbor info at step 217000: radial(max=30,actual=24), angular(max=20,actual=16).
Neighbor info at step 218000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 219000: radial(max=30,actual=24), angular(max=20,actual=16).
Neighbor info at step 220000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 221000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 222000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 223000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 224000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 225000: radial(max=30,actual=24), angular(max=20,actual=16).
Neighbor info at step 226000: radial(max=30,actual=23), angular(max=20,actual=15).
Neighbor info at step 227000: radial(max=30,actual=24), angular(max=20,actual=16).
Neighbor info at step 228000: radial(max=30,actual=24), angular(max=20,actual=16).
Neighbor info at step 229000: radial(max=30,actual=23), angular(max=20,actual=15).
Neighbor info at step 230000: radial(max=30,actual=25), angular(max=20,actual=15).
Neighbor info at step 231000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 232000: radial(max=30,actual=24), angular(max=20,actual=16).
Neighbor info at step 233000: radial(max=30,actual=24), angular(max=20,actual=16).
Neighbor info at step 234000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 235000: radial(max=30,actual=24), angular(max=20,actual=16).
Neighbor info at step 236000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 237000: radial(max=30,actual=23), angular(max=20,actual=15).
Neighbor info at step 238000: radial(max=30,actual=25), angular(max=20,actual=15).
Neighbor info at step 239000: radial(max=30,actual=24), angular(max=20,actual=16).
Neighbor info at step 240000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 241000: radial(max=30,actual=24), angular(max=20,actual=16).
Neighbor info at step 242000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 243000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 244000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 245000: radial(max=30,actual=24), angular(max=20,actual=16).
Neighbor info at step 246000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 247000: radial(max=30,actual=23), angular(max=20,actual=15).
Neighbor info at step 248000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 249000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 250000: radial(max=30,actual=23), angular(max=20,actual=15).
Neighbor info at step 251000: radial(max=30,actual=24), angular(max=20,actual=16).
Neighbor info at step 252000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 253000: radial(max=30,actual=23), angular(max=20,actual=15).
Neighbor info at step 254000: radial(max=30,actual=23), angular(max=20,actual=15).
Neighbor info at step 255000: radial(max=30,actual=24), angular(max=20,actual=16).
Neighbor info at step 256000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 257000: radial(max=30,actual=23), angular(max=20,actual=15).
Neighbor info at step 258000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 259000: radial(max=30,actual=23), angular(max=20,actual=15).
Neighbor info at step 260000: radial(max=30,actual=24), angular(max=20,actual=16).
Neighbor info at step 261000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 262000: radial(max=30,actual=23), angular(max=20,actual=15).
Neighbor info at step 263000: radial(max=30,actual=23), angular(max=20,actual=15).
Neighbor info at step 264000: radial(max=30,actual=23), angular(max=20,actual=15).
Neighbor info at step 265000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 266000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 267000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 268000: radial(max=30,actual=24), angular(max=20,actual=16).
Neighbor info at step 269000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 270000: radial(max=30,actual=23), angular(max=20,actual=16).
Neighbor info at step 271000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 272000: radial(max=30,actual=23), angular(max=20,actual=15).
Neighbor info at step 273000: radial(max=30,actual=23), angular(max=20,actual=15).
Neighbor info at step 274000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 275000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 276000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 277000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 278000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 279000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 280000: radial(max=30,actual=25), angular(max=20,actual=15).
Neighbor info at step 281000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 282000: radial(max=30,actual=24), angular(max=20,actual=16).
Neighbor info at step 283000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 284000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 285000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 286000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 287000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 288000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 289000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 290000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 291000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 292000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 293000: radial(max=30,actual=23), angular(max=20,actual=16).
Neighbor info at step 294000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 295000: radial(max=30,actual=23), angular(max=20,actual=15).
Neighbor info at step 296000: radial(max=30,actual=24), angular(max=20,actual=16).
Neighbor info at step 297000: radial(max=30,actual=24), angular(max=20,actual=16).
Neighbor info at step 298000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 299000: radial(max=30,actual=24), angular(max=20,actual=16).
Neighbor info at step 300000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 301000: radial(max=30,actual=23), angular(max=20,actual=15).
Neighbor info at step 302000: radial(max=30,actual=24), angular(max=20,actual=16).
Neighbor info at step 303000: radial(max=30,actual=24), angular(max=20,actual=16).
Neighbor info at step 304000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 305000: radial(max=30,actual=23), angular(max=20,actual=15).
Neighbor info at step 306000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 307000: radial(max=30,actual=25), angular(max=20,actual=16).
Neighbor info at step 308000: radial(max=30,actual=24), angular(max=20,actual=16).
Neighbor info at step 309000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 310000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 311000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 312000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 313000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 314000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 315000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 316000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 317000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 318000: radial(max=30,actual=25), angular(max=20,actual=16).
Neighbor info at step 319000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 320000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 321000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 322000: radial(max=30,actual=25), angular(max=20,actual=15).
Neighbor info at step 323000: radial(max=30,actual=24), angular(max=20,actual=16).
Neighbor info at step 324000: radial(max=30,actual=23), angular(max=20,actual=15).
Neighbor info at step 325000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 326000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 327000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 328000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 329000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 330000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 331000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 332000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 333000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 334000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 335000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 336000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 337000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 338000: radial(max=30,actual=24), angular(max=20,actual=16).
Neighbor info at step 339000: radial(max=30,actual=25), angular(max=20,actual=15).
Neighbor info at step 340000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 341000: radial(max=30,actual=26), angular(max=20,actual=15).
Neighbor info at step 342000: radial(max=30,actual=25), angular(max=20,actual=15).
Neighbor info at step 343000: radial(max=30,actual=23), angular(max=20,actual=15).
Neighbor info at step 344000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 345000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 346000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 347000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 348000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 349000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 350000: radial(max=30,actual=23), angular(max=20,actual=15).
Neighbor info at step 351000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 352000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 353000: radial(max=30,actual=25), angular(max=20,actual=15).
Neighbor info at step 354000: radial(max=30,actual=23), angular(max=20,actual=15).
Neighbor info at step 355000: radial(max=30,actual=25), angular(max=20,actual=15).
Neighbor info at step 356000: radial(max=30,actual=23), angular(max=20,actual=15).
Neighbor info at step 357000: radial(max=30,actual=23), angular(max=20,actual=15).
Neighbor info at step 358000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 359000: radial(max=30,actual=23), angular(max=20,actual=15).
Neighbor info at step 360000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 361000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 362000: radial(max=30,actual=25), angular(max=20,actual=15).
Neighbor info at step 363000: radial(max=30,actual=23), angular(max=20,actual=15).
Neighbor info at step 364000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 365000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 366000: radial(max=30,actual=23), angular(max=20,actual=15).
Neighbor info at step 367000: radial(max=30,actual=23), angular(max=20,actual=15).
Neighbor info at step 368000: radial(max=30,actual=23), angular(max=20,actual=15).
Neighbor info at step 369000: radial(max=30,actual=23), angular(max=20,actual=15).
Neighbor info at step 370000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 371000: radial(max=30,actual=23), angular(max=20,actual=15).
Neighbor info at step 372000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 373000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 374000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 375000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 376000: radial(max=30,actual=24), angular(max=20,actual=15).
Neighbor info at step 377000: radial(max=30,actual=24), angular(max=20,actual=15).
